text	label
opposed	0
validates	1
only reason for this would be	0
delaying the day of reckoning	0
my fist carries a force	1
monstrous inhumanity	0
had himself to blame	0
had argued	0
only	0
mutual desire	1
dressings down	0
unity	1
considers	1
is craving	0
appears to be another faith - based initiative : we should have faith that major corporations will line up to volunteer	0
unconstitutional	0
not so well sourced	0
far	1
runaway	1
threatened by	0
to guarantee	1
its support for	1
axis of evil theory	0
praised	1
difficult	0
well - respected	1
the tale today is all the more bitter as it began with such euphoria	0
growing exodus	0
recognizes	1
used to boast	1
resented	0
should be penalised	0
it can not be taken into consideration , as long as the war against terrorism is far from over	0
believe	0
full support	1
are feeling	0
trampled over	0
tensions between	0
because of what they did	0
anti - iran reports	0
backing	1
shift loosely between the u . s . polity and people	0
comforting sense of personal and national vindication	1
recognition of	1
are scared	0
instrumental	0
the us imperialist war maniacs ' conspiracy	0
accused	0
support	1
nothing whatsoever	0
no matter how long sharon humiliates arab dignity	0
without any international legitimacy	0
patronizing	0
has resisted	0
was tasty	1
always	1
hostile regime	0
once again	0
not applied for political , cultural and ideological considerations	0
punishment	0
will have no universally - acknowledged	0
the suspicions	0
arbitrarily	0
master of escalation	0
sponsor terrorism	0
acceptable	1
under the pretext of fighting terrorism	0
the most bizarre twist	0
gone awry	0
wants	0
can not adequately explain	0
threat	0
proves this beyond the shadow of a doubt	1
in such a complex state	0
bitter experience	0
deny	0
come under fire	0
resolute	1
to intimidate women and children	0
they stand with empty pockets and their hands empty , out toward alberta	0
as a lesson to others	0
attacks	0
is not shaping up as a romance	0
aid for terrorists	0
bin ladin and mullah omar put together	0
agree	0
support	1
this is a question of	0
to express concerns	0
concluded in its scathing 70 , 000 - word report	0
described	0
refuses to consider	0
is stuck minding us	0
oic - eu front against the united states	0
deep social polarization	0
enjoying	1
had the illusion	0
raved	0
who is ordinarily so sure of himself and of his jokes	0
is concerned	0
must demand	1
pained him	0
importance	1
are worried	0
does not have the slightest doubt	1
gaffe	0
blabbing	0
the idea	1
clearly not free and fair	0
thanked	1
long urged	1
gave consent	1
contributions	1
lost the game	0
they may no longer stand shoulder to shoulder	0
playing the part of a thug who is feared by all and who likes to punish anyone that complains about his behavior	0
is promising	1
weak or even nonexistant	0
ugliest crimes	0
is not a good deal	0
implicitly encouraged	0
violation of the palestinian people 's human rights	0
admittedly	1
recommendations	1
urge	1
enthusiastically asked	1
is deemed	0
is feared by	0
objections	0
has pursued	1
wants to push ahead	1
advisories	0
proclaimed	1
would not like	0
may even get better	0
praised	1
desire	1
at turns passive and inflexible	0
testimony of	1
victorious	0
the number one country in wmd and ballistic missiles sales and concerned technology sales	0
has voiced his approval	1
throw us from the island	0
the whiff of scandal and conspiracy is in the air	0
clearly	1
greatly miscalculating	0
meddling	0
denied by	0
improve	1
is favored	1
had irritated	0
hardly anyone	0
from british lords down to humble skinheads	0
these people are committed terrorists	0
mandatory	0
good list	1
urged	1
desperation of	0
denied	0
can not solve	0
no qualifications and face	0
gently balked	0
deeply mistaken	0
citing	0
condemned	0
have angered	0
surrounded to the point of strangulation	0
privileges	1
charged	0
was compromised	0
has eroded the government 's ability	0
unable to tolerate	0
indirectly criticised	0
are not happy	0
axis of evil	0
are disturbed	0
worried	0
generally approved of	1
their godfather	1
rebuffed	0
reducing their margin of security	0
refuses to indicate	0
difficult situation	0
the refusal to grant	0
do not agree	0
humane	1
opportunity	1
firm national palestinian rights	1
empire of evil	0
rejection	0
regretted	0
put his nation first	1
quick return to the negotiating table	1
filing the complaint	0
wish	1
without admitting	0
is a thorn in the eye and flesh which must be removed	0
outcry	0
see the world in terms of good and evil states	0
formation of good neighborly field	1
favored	1
committed	1
our full support	1
brutalized , tortured , and humiliated	0
comrades	0
too is seriously damaged	0
more comfortable	1
rig	0
tremendously ambitious	1
called for	1
poured all kinds of abusive words	0
even committed such an atrocious act	0
with a sense of accomplishment	1
has an interest	1
substantial challenge	0
were blown up by ammunition	0
warm	1
clashed violently	0
wants	1
has accused	0
axis of evil	0
even in some cases pure falsehoods	0
what would then remain	0
rather than a product of comprehensive reasoning	0
precarious	0
aghast	0
preferred	1
were opposed	0
violated human rights	0
not	0
agreed the adoption of a decision for approval	1
were considered as nonexistent by many countries	0
supports	1
without	0
in tatters	0
never again should	0
it is wrong	0
bad treatment	0
a stolen victory and an illegitimate government	0
criticism	0
harms	0
scares away	0
against the enemy	0
was determined	1
threaten	0
are eager	1
prosperity	1
uproar	0
have written a page of dignity and honor	1
would be badly damaged	0
briefly appeared to be abating	1
solid and cordial	1
changing and contradicting personality	0
who said that space investments were not interesting	1
outright isolation	0
it delivered that blow , and hit argentina	0
the interests of	1
demand	1
won the assurance	1
there 's plenty of food to play with	0
fears	0
an uneasy atmosphere reigns	0
palestinian hand that is stretched for peace	0
were at odds	0
expressed concern	0
summarily dismissed	0
grinds on	0
must think	1
continue to close ranks behind	1
recognition	1
defend freedom	1
implicitly asking	1
wracked by intense violence and intimidation	0
create uncertainties	0
the superpower has decided to wage war and administer justice all on its own	0
the agreement	1
have the goal of peace in mind	1
growing concerns	0
expand constructive and cooperative relations	1
want	1
a lot of negative points	0
subsequently denied	0
opportunistic attacks on civil liberties around the world	0
did not succeed	0
always	0
conspiring	0
demand	1
are often tainted with a significant degree of hypocrisy	0
sought to ease	1
has to respect	1
our friends and allies	1
good pupils	0
intense dissatisfaction and frustration	0
be difficult	0
outcry	0
be concerned	0
extensive protest	0
particularly affected would be	0
no decisive action	0
failed to provide any evidence	0
the impossible feat	0
will be able	1
evil	0
could not be hollowed out	0
to encourage	1
concerns	0
wanted	1
with the support	1
prime targets	0
instead stay at the ritz - carlton	0
perverse form of nationalist racism	0
not convincing	0
collapse from within	0
still	0
violating human rights	0
to encourage	1
effective solution	1
took to the streets around the country in a pot - banging demonstration	0
are scared	0
questions	0
agreed	1
archetypal sales of lethal weapons	0
important new development	1
must no longer be encysted	0
to support	1
discrediting	0
the world did not always realize how good they were .	0
are becoming nonexistent	0
we have dealt a stunning blow to imperialism	1
disregarding	0
be completely satisfied	1
the fatherland 's reunification	1
toy with the world in palms of their hands	0
urged	1
will	1
fully within the legitimate order	1
there will be no investments	0
attacked	0
has escalated wildly	0
legitimate	1
could destabilise	0
to keep yasser arafat stranded	0
grateful	1
total disregard	0
are concerned	0
was rejected	0
it does not matter	0
aspirations	1
damaging solidarity	0
has no moral excuse for shooting people merely demanding a new constitution	0
inclinations	1
voiced	0
faux pas	0
blatant campaign of violence , intimidation and manipulation	0
are to blame	0
a long road ahead of us	0
dedicate themselves to lamenting	0
confidence in it is waning	0
easier	1
expressed gratitude	1
have also moved to contest	0
criticism of	0
to refuse	0
wielding its authority	0
biggest global problem we are facing today	0
launched a broad assault	0
severe consequences	0
succumbing	0
kneel in submission	0
view	0
very odd	0
was going to be a war	0
was naive	0
ugly split	0
expressed the hope	1
hints of war	0
nations that are n't transparent	0
the meat was entering the food chain	0
witch - hunting	0
good relations	1
in a way our government has not been	0
could understand	0
admitted	0
have watched with chagrin	0
is afraid	0
more are on the way	0
fearing	0
declined to endorse	0
far preferable	1
is ready to support	1
gives constant demonstrations of discontent and irritation	0
drove the imf even further away	0
the us has behaved as if it had a sort of natural right to create law	0
preach democracy to the entire planet	0
calling for	1
without	0
could easily fit into a telephone booth	1
whose eyes are not bluest of the blue	0
axis of evil	0
already over - taxed economy	0
would gladly go	1
without comprehensively consulting with the countries concerned	0
reined in	0
charging	0
massacre	0
defends	1
